Z,N1,M1,N3,M3,N5,M5
1927.5,7.39E-06,5.23E-06,2.23E-06,1.26E-06,2.12E-06,1.26E-06
1935,7.16E-06,5.23E-06,2.29E-06,1.26E-06,2.33E-06,1.26E-06
1942.5,7.43E-06,5.22E-06,2.21E-06,1.26E-06,2.13E-06,1.26E-06
1950,7.53E-06,5.21E-06,2.25E-06,1.26E-06,2.17E-06,1.26E-06
1957.5,7.38E-06,5.20E-06,2.28E-06,1.26E-06,2.10E-06,1.26E-06
1965,7.31E-06,5.19E-06,2.29E-06,1.26E-06,2.07E-06,1.26E-06
1972.5,7.08E-06,5.18E-06,2.24E-06,1.25E-06,1.93E-06,1.25E-06
1980,7.04E-06,5.18E-06,2.24E-06,1.25E-06,2.42E-06,1.25E-06
1987.5,6.99E-06,5.17E-06,2.19E-06,1.25E-06,2.18E-06,1.25E-06
1995,7.18E-06,5.16E-06,2.28E-06,1.25E-06,1.96E-06,1.25E-06
2002.5,7.03E-06,5.15E-06,2.36E-06,1.25E-06,2.13E-06,1.25E-06
2010,7.02E-06,5.14E-06,2.20E-06,1.25E-06,2.05E-06,1.25E-06
2017.5,6.86E-06,5.13E-06,2.19E-06,1.25E-06,1.99E-06,1.25E-06
2025,7.20E-06,5.12E-06,2.19E-06,1.25E-06,2.22E-06,1.25E-06
2032.5,7.19E-06,5.12E-06,2.05E-06,1.25E-06,2.18E-06,1.25E-06
2040,6.93E-06,5.11E-06,2.13E-06,1.24E-06,2.07E-06,1.24E-06
2047.5,6.62E-06,5.10E-06,2.20E-06,1.24E-06,2.31E-06,1.24E-06
2055,6.78E-06,5.09E-06,2.23E-06,1.24E-06,2.22E-06,1.24E-06
2062.5,6.94E-06,5.08E-06,2.17E-06,1.24E-06,1.94E-06,1.24E-06
2070,6.69E-06,5.08E-06,2.33E-06,1.24E-06,1.84E-06,1.24E-06
2077.5,7.26E-06,5.07E-06,2.10E-06,1.24E-06,2.00E-06,1.24E-06
2085,6.74E-06,5.06E-06,2.19E-06,1.24E-06,2.03E-06,1.24E-06
2092.5,6.92E-06,5.05E-06,2.19E-06,1.24E-06,1.97E-06,1.24E-06
2100,7.25E-06,5.04E-06,2.22E-06,1.24E-06,2.15E-06,1.24E-06
2107.5,7.10E-06,5.03E-06,2.24E-06,1.23E-06,2.12E-06,1.23E-06
2115,6.71E-06,5.03E-06,2.16E-06,1.23E-06,1.91E-06,1.23E-06
2122.5,6.79E-06,5.02E-06,2.23E-06,1.23E-06,2.24E-06,1.23E-06
2130,6.70E-06,5.01E-06,2.06E-06,1.23E-06,2.10E-06,1.23E-06
2137.5,6.41E-06,5.00E-06,2.07E-06,1.23E-06,2.23E-06,1.23E-06
2145,7.08E-06,4.99E-06,2.02E-06,1.23E-06,2.12E-06,1.23E-06
2152.5,6.77E-06,4.99E-06,2.19E-06,1.23E-06,2.00E-06,1.23E-06
2160,6.99E-06,4.98E-06,1.97E-06,1.23E-06,1.83E-06,1.23E-06
2167.5,6.33E-06,4.97E-06,2.15E-06,1.23E-06,1.87E-06,1.23E-06
